Action labels
add
apply
approve
back
browse
cancel
clear
close
confirm
copy
create
customize
delete
docs
done
download
drop
edit
empty trash
export
filter
find
finish
get help
hide
import
insert
launch
learn more
login
log in
logout
log out
move
move to trash
new
next
ok
play
post
preview
print
redo
refresh
reject
remove
reply
reset
restore
restore all
restore defaults
run
save
save as
search
select
select all
send
show
sign up
sort
start
submit an idea
top
undo
update
upload
view details
